City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,olyokminsk,60.3736,120.4264,267.2,96,42,1.22,RU,1728675343
240,diego de almagro,-26.3667,-70.05,300.49,14,0,6.74,CL,1728675345
241,saint-pierre,-21.3393,55.4781,294.97,64,20,6.69,RE,1728675346
242,desert hot springs,33.9611,-116.5017,308.6,9,0,3.09,US,1728675348
243,goondiwindi,-28.55,150.3167,289.19,74,0,3.61,AU,1728675349
244,srivardhan,18.0333,73.0167,299.24,86,100,1.77,IN,1728675351
245,grand gaube,-20.0064,57.6608,295.58,77,55,2.68,MU,1728675353
246,xixiang,35.1628,112.865,291.69,53,97,1.9,CN,1728675354
247,laminusa,5.5549,120.9136,301.44,75,97,0.96,PH,1728675355
248,misratah,32.3754,15.0925,298.78,68,64,5.56,LY,1728675356
249,mormugao,15.4,73.8,299.74,83,40,1.54,IN,1728675358
250,ystalyfera,51.7672,-3.7808,283.26,71,99,1.71,GB,1728675360
251,constitucion,-35.3333,-72.4167,288.18,74,59,5.62,CL,1728675361
252,geraldton,-28.7667,114.6,293.38,88,100,4.12,AU,1728675364
253,kodinsk,58.6881,99.1844,267.27,81,82,0.26,RU,1728675366
254,fairmont,39.4851,-80.1426,294.76,40,1,1.79,US,1728675354
255,sao miguel do araguaia,-13.275,-50.1628,304.82,43,97,4.42,BR,1728675369
256,elliot lake,46.3834,-82.6331,293.27,51,53,5.25,CA,1728675214
257,howrah,22.5892,88.3103,302.15,89,40,3.09,IN,1728675372
258,kolonia town,6.964,158.206,298.15,100,75,0.0,FM,1728675373
259,west island,-12.1568,96.8225,300.14,89,75,7.72,CC,1728675375
260,berber,18.0216,33.983,307.56,23,83,4.51,SD,1728675376
261,howard springs,-12.497,131.047,300.1,93,21,1.33,AU,1728675378
262,ormara,25.2088,64.6357,300.77,82,6,3.83,PK,1728675379
263,fortaleza,-3.7227,-38.5247,302.22,82,20,6.17,BR,1728675165
264,penonome,8.5167,-80.3667,299.26,85,100,1.34,PA,1728675382
265,bera,24.0833,89.6167,299.73,83,2,2.86,BD,1728675384
266,priargunsk,50.3691,119.1012,273.77,41,76,2.42,RU,1728675385
267,smyrna,33.884,-84.5144,298.21,38,0,2.06,US,1728675387
268,cabedelo,-6.9811,-34.8339,301.52,69,100,6.16,BR,1728675227
269,machilipatnam,16.1667,81.1333,299.95,84,42,2.4,IN,1728675390
270,mukalla,14.5425,49.1242,299.08,75,3,0.39,YE,1728675392
271,olinda,-8.0089,-34.8553,301.0,65,40,5.14,BR,1728675393
272,egilsstadir,65.2653,-14.3948,273.1,69,20,5.66,IS,1728675394
273,tsetserleg,47.475,101.4542,276.99,51,9,2.45,MN,1728675396
274,tolanaro,-25.0319,46.9987,295.19,88,20,8.23,MG,1728675397
275,yaren,-0.5472,166.916,301.49,71,16,5.44,NR,1728675400
276,sisimiut,66.9395,-53.6735,275.67,54,7,3.72,GL,1728675402
277,weno,7.4515,151.8468,301.12,83,100,2.06,FM,1728675403
278,villa el carmen,11.9801,-86.5057,302.43,72,100,3.87,NI,1728675405
279,port sudan,19.6175,37.2164,302.79,75,4,1.21,SD,1728675407
280,kenai,60.5544,-151.2583,278.79,82,0,9.26,US,1728675408
281,port lincoln,-34.7333,135.8667,286.3,78,100,8.32,AU,1728675410
282,callao,-12.0667,-77.15,291.31,72,0,5.14,PE,1728675411
283,mananjary,-21.2167,48.3333,294.33,83,61,3.23,MG,1728675412
284,saint croix,17.7397,-64.7388,304.4,70,0,3.09,VI,1728675414
